datetime,season,holiday,workingday	,weather,temp,atemp,humidity,windspeed,count
2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027,13.1925
2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0.0,5.74625
2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0.0,4.71875
2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014,3.00375
2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014,2.3625
2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013,6.43125
2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013,33.7725
2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013,84.1575
2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012,185.03875
2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013,114.675
2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995,74.33
2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014,75.86375
2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0.0,82.18375
2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015,79.07625
2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981,82.935
2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998,84.9575
2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981,90.63875
2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015,188.175625
2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998,161.6275
2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028,111.7575
2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012,67.14375
2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979,41.275
2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012,36.5425
2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028,19.41375
2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979,12.995
2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979,5.57875
2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014,4.03875
2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995,3.4875
2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032,3.2075
2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993,5.43125
